epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.77461,0.91301,0.94652,1,0.47929,0.000470594,0.000470594,0.000470594
2,18.984,0.35972,0.98396,1,0.0583,0.000915679,0.000915679,0.000915679
3,27.857,0.15978,0.94652,1,0.10603,0.00132933,0.00132933,0.00132933
4,36.663,0.18634,0.99465,1,0.03749,0.00128753,0.00128753,0.00128753
5,45.4266,0.12668,0.9893,1,0.04033,0.00124037,0.00124037,0.00124037
6,54.1465,0.11339,0.99465,1,0.04619,0.00119322,0.00119322,0.00119322
7,63.0375,0.10504,0.99465,1,0.03725,0.00114606,0.00114606,0.00114606
8,71.7805,0.05897,0.99465,1,0.02905,0.0010989,0.0010989,0.0010989
9,81.0784,0.13976,0.97861,1,0.08012,0.00105174,0.00105174,0.00105174
10,94.0997,0.07441,0.99465,1,0.04221,0.00100459,0.00100459,0.00100459
11,104.417,0.07147,0.99465,1,0.04081,0.00095743,0.00095743,0.00095743
12,114.653,0.07785,0.99465,1,0.04201,0.000910273,0.000910273,0.000910273
13,125.228,0.0689,0.99465,1,0.05029,0.000863116,0.000863116,0.000863116
14,135.259,0.04164,0.98396,1,0.05857,0.000815959,0.000815959,0.000815959
15,145.554,0.05778,0.99465,1,0.04992,0.000768802,0.000768802,0.000768802
16,155.514,0.03666,0.99465,1,0.06618,0.000721645,0.000721645,0.000721645
17,165.96,0.04222,0.99465,1,0.0427,0.000674488,0.000674488,0.000674488
18,176.189,0.06382,0.99465,1,0.04543,0.000627331,0.000627331,0.000627331
19,186.703,0.04601,0.99465,1,0.04794,0.000580174,0.000580174,0.000580174
20,196.784,0.04594,0.99465,1,0.04058,0.000533017,0.000533017,0.000533017
21,207.322,0.03769,0.99465,1,0.04088,0.00048586,0.00048586,0.00048586
22,217.414,0.02163,0.99465,1,0.04024,0.000438703,0.000438703,0.000438703
23,227.705,0.02561,0.99465,1,0.03687,0.000391546,0.000391546,0.000391546
24,237.775,0.02143,0.99465,1,0.03664,0.000344389,0.000344389,0.000344389
25,248.151,0.02686,0.99465,1,0.03831,0.000297232,0.000297232,0.000297232
26,258.294,0.0264,0.99465,1,0.03937,0.000250075,0.000250075,0.000250075
27,268.376,0.03086,0.99465,1,0.04192,0.000202918,0.000202918,0.000202918
28,278.627,0.0242,0.99465,1,0.04145,0.000155761,0.000155761,0.000155761
29,289.267,0.02504,0.99465,1,0.0397,0.000108604,0.000108604,0.000108604
30,299.896,0.01796,0.99465,1,0.04254,6.1447e-05,6.1447e-05,6.1447e-05
